name;brand;pvp;description;image
AJ-BULLETCAM-5-HLVF-W;AJAX;348.44;"Cámara IP Bullet 5 Megapíxel Ajax - 1/2.7"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-HLVF-W/AJ-BULLETCAM-5-HLVF-W.png
AJ-BULLETCAM-5-W;AJAX;245.6;Cámara IP Bullet 5 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-5-W/AJ-BULLETCAM-5-W.png
AJ-BULLETCAM-8-0400-B;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-B/AJ-BULLETCAM-8-0400-B.png
AJ-BULLETCAM-8-0400-HL-B;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-HL-B/AJ-BULLETCAM-8-0400-HL-B.png
AJ-BULLETCAM-8-0400-HL-W;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 4 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-HL-W/AJ-BULLETCAM-8-0400-HL-W.png
AJ-BULLETCAM-8-0400-W;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 4 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-0400-W/AJ-BULLETCAM-8-0400-W.png
AJ-BULLETCAM-8-B;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color Negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-B/AJ-BULLETCAM-8-B.png
AJ-BULLETCAM-8-HL-B;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HL-B/AJ-BULLETCAM-8-HL-B.png
AJ-BULLETCAM-8-HL-W;AJAX;339.92;"Cámara IP Bullet 8 Megapixel Ajax - 1/2.7"" Progressive Scan CMOS - Lente 2.8 mm | Ranura MicroSD hasta 256GB - IR 50m | Luz Blanca 50 m | PoE 802.3at/af - Con Inteligencia Artificial - Color blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HL-W/AJ-BULLETCAM-8-HL-W.png
AJ-BULLETCAM-8-HLVF-B;AJAX;482.46;"Cámara IP Bullet 8 Megapíxel Ajax - 1/2.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-B/AJ-BULLETCAM-8-HLVF-B.png
AJ-BULLETCAM-8-HLVF-S-B;AJAX;616.48;"Cámara IP Superior Bullet 8 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Negro";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-S-B/AJ-BULLETCAM-8-HLVF-S-B.png
AJ-BULLETCAM-8-HLVF-S-W;AJAX;616.48;"Cámara IP Superior Bullet 8 Megapíxel Ajax - 1/1.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-S-W/AJ-BULLETCAM-8-HLVF-S-W.png
AJ-BULLETCAM-8-HLVF-W;AJAX;482.46;"Cámara IP Bullet 8 Megapíxel Ajax - 1/2.8"" Progressive Scan CMOS - Lente varifocal motorizada 2.8~12 mm - IR 60 m | Luz blanca 40 m | PoE 802.3at/af - 120 dB TrueWDR | Detección de movimiento | IA - MicroSD hasta 256GB | Color Blanco";https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-HLVF-W/AJ-BULLETCAM-8-HLVF-W.png
AJ-BULLETCAM-8-W;AJAX;327.5;Cámara IP Bullet 8 Megapixel Ajax - Progressive Scan CMOS - Lente 2.8 mm, Ranura MicroSD hasta 256GB - IR LEDs Alcance 50m, PoE 802.3at - Con Inteligencia Artificial - Color blanco;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BULLETCAM-8-W/AJ-BULLETCAM-8-W.png
AJ-BUTTON-B;AJAX;38.76;Botón de pánico - Grado 2 - Inalámbrico 868 MHz Jeweller - Alcance espacio abierto 1300 m - Pulsación segura: doble o larga - Alimentación 1 pila CR2032 3.0 V - Protección IP55;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BUTTON-B/AJ-BUTTON-B.png
AJ-BUTTON-W;AJAX;38.76;Botón de pánico - Grado 2 - Inalámbrico 868 MHz Jeweller - Alcance espacio abierto 1300 m - Pulsación segura: doble o larga - Protección IP55 - Alimentación 1 pila CR2032 3.0 V;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BUTTON-W/AJ-BUTTON-W.png
AJ-BYPASS-DIMMER;AJAX;19.8;Bypass para luz regulable - Evita parpadeo de luz - Compatible con AJ-LIGHTCORE-DIMMER - Alimentación 230 V AC 50 Hz - Ajax - LightSwitch Bypass (Dimmer);https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-BYPASS-DIMMER/AJ-BYPASS-DIMMER.png
AJ-CAP-B;AJAX;28;Gorra - Color negro;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CAP-B/AJ-CAP-B.png
AJ-CENTERBUTTON-1G2W-B;AJAX;13.44;Panel táctil para interruptor de luz - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color negro - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-B/AJ-CENTERBUTTON-1G2W-B.png
AJ-CENTERBUTTON-1G2W-B-VERT;AJAX;13.44;Panel táctil para interruptor de luz vertical - Compatible con AJ-LIGHTCORE-1G-VERT / -2W-VERT - Retroiluminación LED - Panel táctil central sin contacto - Color negro - Ajax - LightSwitch CenterButton Vertical;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-B-VERT/AJ-CENTERBUTTON-1G2W-B-VERT.png
AJ-CENTERBUTTON-1G2W-FOG;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color niebla - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-FOG/AJ-CENTERBUTTON-1G2W-FOG.png
AJ-CENTERBUTTON-1G2W-GRA;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color grafito - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-GRA/AJ-CENTERBUTTON-1G2W-GRA.png
AJ-CENTERBUTTON-1G2W-GRE;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color gris - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-GRE/AJ-CENTERBUTTON-1G2W-GRE.png
AJ-CENTERBUTTON-1G2W-IVO;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color marfil - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-IVO/AJ-CENTERBUTTON-1G2W-IVO.png
AJ-CENTERBUTTON-1G2W-OLI;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color oliva - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-OLI/AJ-CENTERBUTTON-1G2W-OLI.png
AJ-CENTERBUTTON-1G2W-OYS;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color ostra - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-OYS/AJ-CENTERBUTTON-1G2W-OYS.png
AJ-CENTERBUTTON-1G2W-W;AJAX;13.44;Panel táctil para interruptor de luz simple - Compatible con AJ-LIGHTCORE-1G / -2W - Retroiluminación LED - Panel táctil central sin contacto - Color blanco - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-W/AJ-CENTERBUTTON-1G2W-W.png
AJ-CENTERBUTTON-1G2W-W-VERT;AJAX;13.44;Panel táctil para interruptor de luz vertical - Compatible con AJ-LIGHTCORE-1G-VERT / -2W-VERT - Retroiluminación LED - Panel táctil central sin contacto - Color blanco - Ajax - LightSwitch CenterButton Vertical;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-1G2W-W-VERT/AJ-CENTERBUTTON-1G2W-W-VERT.png
AJ-CENTERBUTTON-2G-B;AJAX;14.36;Panel táctil para interruptor de luz doble - Compatible con AJ-LIGHTCORE-2G - Retroiluminación LED - Panel táctil central sin contacto - Color negro - Ajax - LightSwitch CenterButton;https://d1x12lhh8s9nlj.cloudfront.net/images/productos/products/AJ-CENTERBUTTON-2G-B/AJ-CENTERBUTTON-2G-B.png
